Original Time,Rewritten Time
1970,early 1970s
1979,late 1970s
2000,the turn of the millennium
2004,the following year
"October 2, 2003",early October 2003
"January 23, 2004",late January 2004
"January 23, 2004",Soon after
"January 28, 2004",at the end of January 2004
"February 1, 2004",shortly after
1967,several decades ago
1976,a little over four decades ago
1993,Approximately three decades back
2009,Fourteen years ago
2012,eight years ago
1948,a little over 75 years ago
1949,about 74 years back
1951,early 1950s
1956,approximately mid-1950s
1989,the last decade of the 1980s
2005,the year marking a decade and a half into the 21st century
1994,nearly three decades later
May 2012,over a decade ago
1990,a few decades ago
1991,the following year
In 1990,Around the same time
In 1996,A few years later
In 1999,A few years before the new millennium
"November 18, 2003",November 18
"October 28, 2005",shortly after Halloween in 2005
As a consequence of this research,As a consequence of this research
under then-president Malcolm Gillis,under then-president Malcolm Gillis
in 2015,about eight years ago
1920,a few years later
1951,a few years later
1953,a couple of years later
1991,during the early 1990s
November 30,at the end of November that same year
"22, 1993",early ruling that same month
"January 25, 1994",shortly before that
1995,a year later
"February 24, 2003",during early 2003
1992-1993,early 1990s
1969,"""over five decades ago"""
1976,"""mid-1970s"""
1993 and 1994,"""early 1990s"""
1994,"""That same year"""
1995,"""a year after becoming a professor"""
1996,"""the following year"""
August 2001,"""the summer of the early 2000s"""
June 2008,"""the middle of 2008"""
2009,"""over a decade ago"""
1948,a few years later
1951,a few years after that
1977,several decades later
1981,just four years after
19 January 1982,19th of January
February 1983,shortly thereafter
2019,a couple of years ago
In 1998,two decades ago
1955,quite a long while ago
1961,many years ago
1965,long ago
1985,not too far back
1967,over fifty years ago
1976,decades ago
1982,some years in the late 20th century
1984,a few years before this century
1967,several years later
2001,that same year
early 2002,shortly thereafter
2009,that year
"May 21, 2009",May 21 of that year
1992,more than three decades ago
1996,the mid-1990s
1998,over two decades ago
"March 14–17, 2005",five years into the 2000s
2007,some years before the last decade
1946,Long before the establishment of the state of Israel
1950,Shortly after the establishment of Israel
1956,A few decades after taking that position
1972,Decades later
1973,a year after
1980,several years later
1992,a year three decades ago
1956,a year more than six decades ago
1961,eighty years ago
1967,more than half a century ago
1970,five decades ago
1977,a bit over four decades ago
1988,over thirty-five years ago
1989,around thirty-four years ago
1990,More than three decades ago
2003,two decades back
2004,nearly two decades ago
2012,just over a decade ago
2012,around a similar time
2015,eight years ago
2017,six years ago
`1973`,`roughly half a century ago`
`1975`,`a couple of years later`
`1977`,`a few years after that`
`1981`,`several years later`
`1983`,`about four decades ago`
`1984`,`the very next year`
`1986`,`a few years after`
`1985`,`not long into the mid-1980s`
`1989`,`close to 35 years ago`
`2002`,`a little over two decades ago`
`2009`,`more than a decade ago`
`2015`,`eight years ago`
`2016`,`about seven years ago`
1938,many decades ago
June 1941,a few years after that
1943,shortly thereafter
October 1950,the autumn of the following decade
September 1958,mid-century
1961,a few years later
In 1961,in the same year
1972,That year
1997,a little over two decades ago
In 1998,Two years later
From 2000 to 2004,Starting at the dawn of the millennium until four years after
In 2000–2004,Around the same period
in 2005-2015,overlapping into the next decade
In 2016-2020,That same year extending to three years ago
Since 2016 till 2020,Now into the present
"December 1, 1926",long ago
1938,many decades back
1944,during the World War II era
1946 to 1950,in the period immediately following the war
1947,shortly after finishing his bachelor's degree
1966,when the winds of political change were beginning to stir
1968,two years later
1972,the early 70s
1974 to 1976,during the mid-70s
1940,several decades ago
1943,during World War II
1954,"a year after, in 1954"
1957,over six decades ago
1966,as the cultural revolution was underway
2011,over a decade ago
1979,about four years later
2003,around three years later
2006,about three years post that collaboration
2017,Two years after that
1943,"""quite some time ago"""
1988 to 1990,"""more than three decades ago to a couple of years later"""
2002,"""some two decades ago"""
2005 to 2015,"""many years later"""
2009 to 2021,"""starting over a decade ago until a couple of years back"""
2010,"""approximately 13 years back"""
2018 to 2021,"""a few years ago, until recently"""
1984,some years later
1993 to 2003,over a ten-year span ending about two decades ago
2004 to 2008,a four-year in the early 2000s
2004,mid-2000s
2009,about a decade and a half ago
2,He published his first journal paper in 1930 -> shortly after starting his career.
3,In the fall of 1930 -> In the fall of the same year as his first publication.
3,Richard in 1934 -> Richard four years later.
3,Elaine in 1936 -> Elaine a couple of years after Richard.
4,published in 1934 -> published about a decade later.
5,from 1938 - 1971 -> from a time when Europe was on the brink of world conflict until the early seventies.
6,In 1938 -> Shortly after becoming curator.
7,in 1947 -> in the period following World War II.
